step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
145.0,44,449.0,6.323943661971831,2.7092974212735585,44,1433.0,0.09683942014167846,44,1433.0
150.0,44,646.0,9.098591549295774,3.054045669140195,44,1525.0,0.10908212256033259,44,1525.0
155.0,46,686.0,9.942028985507246,2.916481007622064,46,1592.0,0.13335014714961962,46,1592.0
160.0,40,601.0,8.838235294117647,2.982151117001159,40,1473.0,0.11782969970827868,40,1473.0
165.0,38,569.0,8.246376811594203,2.5287376027456148,38,1662.0,0.09709769455926749,38,1662.0
170.0,35,514.0,8.03125,2.2318461078837064,35,1843.0,0.11608723899961718,35,1843.0
175.0,35,509.0,7.712121212121212,2.2125569329509305,35,1839.0,0.09735851049962393,35,1839.0
180.0,36,611.0,9.257575757575758,2.0340166917370763,36,1701.0,0.07858858024075141,36,1701.0
185.0,33,744.0,10.054054054054054,3.514082108227104,33,1502.0,0.12405975568256568,33,1502.0
190.0,32,885.0,11.95945945945946,4.794659093406025,32,1418.0,0.2178813515696813,32,1418.0
195.0,32,1044.0,14.5,4.936791358697927,32,1393.0,0.2214504215173741,32,1393.0
200.0,38,1230.0,17.083333333333332,4.020484351115211,38,1400.0,0.170140505311905,38,1400.0
205.0,45,1439.0,19.445945945945947,4.334510116098896,45,1505.0,0.16306074984356272,45,1505.0
210.0,39,1428.0,20.4,3.723466322681386,39,1610.0,0.16071909261487616,39,1610.0
215.0,47,1627.0,23.579710144927535,2.765092428012134,47,1704.0,0.1022296227672726,47,1704.0
220.0,50,1826.0,23.714285714285715,2.476942456365146,50,1926.0,0.10063377684216718,50,1926.0
225.0,44,2032.0,27.093333333333334,3.520207697600034,44,2126.0,0.17885551564994837,44,2126.0
230.0,39,1751.0,23.66216216216216,2.9243766617743345,39,2141.0,0.13355246235402274,39,2141.0
235.0,43,1161.0,15.68918918918919,2.5444365503193502,43,1981.0,0.09035724785590049,43,1981.0
240.0,39,853.0,12.014084507042254,3.456302370320521,39,1696.0,0.11276595944969518,39,1696.0
245.0,36,623.0,8.774647887323944,3.976545999024486,36,1577.0,0.18515199402174334,36,1577.0
250.0,32,625.0,9.328358208955224,4.432395411780443,32,1347.0,0.19756311589074907,32,1347.0
255.0,39,798.0,11.083333333333334,4.2989133796719905,39,1200.0,0.17540131602020717,39,1200.0
260.0,37,983.0,13.283783783783784,5.0558547232829465,37,1213.0,0.25173185106361406,37,1213.0
265.0,41,1173.0,15.85135135135135,4.237225885941187,41,1204.0,0.18223752391726122,41,1204.0
270.0,49,1390.0,18.783783783783782,3.4724528168988913,49,1421.0,0.13421315755876467,49,1421.0
275.0,45,1367.0,18.98611111111111,2.9460589907542434,45,1555.0,0.13056667234296349,45,1555.0
280.0,41,1179.0,15.513157894736842,3.4207205128792415,41,1586.0,0.16299368457561136,41,1586.0
285.0,37,1090.0,14.533333333333333,3.726117124146848,37,1531.0,0.14609358331802227,37,1531.0
290.0,34,1168.0,14.784810126582279,3.9896796721667096,34,1521.0,0.1671103204278886,34,1521.0
295.0,34,1246.0,15.575,4.292211366950212,34,1628.0,0.21413407862720746,34,1628.0
300.0,32,1326.0,18.164383561643834,3.596261521255673,32,1740.0,0.1825270290310824,32,1740.0
305.0,37,1093.0,14.194805194805195,2.5056659119175397,37,1733.0,0.09758387128243773,37,1733.0
310.0,44,1154.0,14.987012987012987,2.8179192140571634,44,1633.0,0.10390798977616555,44,1633.0
315.0,48,1288.0,16.512820512820515,2.2165303905200946,48,1749.0,0.07453108166535893,48,1749.0
